,Nongovernmental Organization,Website,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
26,YMCA of Greater Louisville,http://www.ymcalouisville.org/,APPROXIMATE,"Louisville, KY, USA",ChIJEdVbsxoLaYgRMv1xICi009Q,"Louisville, KY, United States",38.2526647,-85.7584557,1,,OK,"locality,political"
27,Crescent City Immigrant and Refugee Collaborative,http://ccano.org/,APPROXIMATE,"New Orleans, LA, USA",ChIJZYIRslSkIIYRtNMiXuhbBts,"New Orleans, LA, United States",29.95106579999999,-90.0715323,1,,OK,"locality,political"
28,New England Arab American Organization,http://neaao.org/,APPROXIMATE,"Portland, ME, USA",ChIJLe6wqnKcskwRKfpyM7W2nX4,"Portland, ME, United States",43.6590993,-70.2568189,1,,OK,"locality,political"
29,Maine Association of New Americans,https://www.facebook.com/MaineMANA/,APPROXIMATE,"Portland, ME, USA",ChIJLe6wqnKcskwRKfpyM7W2nX4,"Portland, ME, United States",43.6590993,-70.2568189,1,,OK,"locality,political"
30,Global Detroit,http://www.globaldetroit.com/,APPROXIMATE,"Detroit, MI, USA",ChIJdR3LEAHKJIgR0sS5NU6Gdlc,"Detroit, MI, United States",42.331427,-83.0457538,1,,OK,"locality,political"
31,YMCA of Greater Grand Rapids,https://www.grymca.org/,APPROXIMATE,"Grand Rapids, MI, USA",ChIJFShQu2BUGIgR0KjTG8uqk6U,"Grand Rapids, MI, United States",42.9633599,-85.6680863,1,,OK,"locality,political"
32,Welcoming Michigan,http://www.welcomingmichigan.org/,APPROXIMATE,"Kalamazoo, MI, USA",ChIJuZIxSXmdF4gRCTBXSdL4fNo,"Kalamazoo, MI, United States",42.2917069,-85.5872286,1,,OK,"locality,political"
33,Michigan Office for New Americans,http://www.michigan.gov/ona,APPROXIMATE,"Lansing, MI, USA",ChIJN4wxfxzAIogRnp0CiSO2eEM,"Lansing, MI, United States",42.732535,-84.5555347,1,,OK,"locality,political"
34,Immigrant & Refugee Resource Collaborative,https://www.facebook.com/IRRCLANSING/,APPROXIMATE,"Lansing, MI, USA",ChIJN4wxfxzAIogRnp0CiSO2eEM,"Lansing, MI, United States",42.732535,-84.5555347,1,,OK,"locality,political"
35,Literacy Council of Southwest Minnesota,https://literacyswmn.org/,APPROXIMATE,"Marshall, MN 56258, USA",ChIJddc9ig1ZiocRuczS9Q8nlJI,"Marshall, MN, United States",44.448423,-95.79119159999999,1,56258,OK,"locality,political"
36,Transformative Circle,http://transformativecircle.org/,APPROXIMATE,"Minneapolis, MN, USA",ChIJvbt3k5Azs1IRB-56L4TJn5M,"Minneapolis, MN, United States",44.977753,-93.2650108,1,,OK,"locality,political"
37,YMCA of Greater Twin Cities,https://www.ymcamn.org/,APPROXIMATE,"Minneapolis, MN, USA",ChIJvbt3k5Azs1IRB-56L4TJn5M,"Minneapolis, MN, United States",44.977753,-93.2650108,1,,OK,"locality,political"
38,James J. Hill Center,http://www.jjhill.org/,APPROXIMATE,"Minneapolis, MN, USA",ChIJvbt3k5Azs1IRB-56L4TJn5M,"Minneapolis, MN, United States",44.977753,-93.2650108,1,,OK,"locality,political"
39,Project FINE,http://www.projectfine.org/,APPROXIMATE,"Winona, MN 55987, USA",ChIJtS6Jk3Nt-YcRD2aiM8I1xwY,"Winona, MN, United States",44.0553908,-91.6663523,1,55987,OK,"locality,political"
40,YMCA of Greater Kansas City,http://www.kansascityymca.org/,APPROXIMATE,"Kansas City, MO, USA",ChIJl5npr173wIcRolGqauYlhVU,"Kansas City, MO, United States",39.0997265,-94.5785667,1,,OK,"locality,political"
41,St. Louis Mosaic Project,http://www.stlmosaicproject.org/,APPROXIMATE,"St. Louis, MO, USA",ChIJ-Y7t-qm02IcRW-C7IsrqOb4,"St. Louis, MO, United States",38.6270025,-90.19940419999999,1,,OK,"locality,political"
42,Soft Landing Missoula,www.softlandingmissoula.org,APPROXIMATE,"Missoula, MT, USA",ChIJy2fzUCrMXVMRLoCUyncS4-k,"Missoula, MT, United States",46.8721284,-113.9940314,1,,OK,"locality,political"
43,YMCA of Greater Charlotte,https://www.ymcacharlotte.org/,APPROXIMATE,"Charlotte, NC, USA",ChIJgRo4_MQfVIgRZNFDv-ZQRog,"Charlotte, NC, United States",35.2270869,-80.8431267,1,,OK,"locality,political"
