,Clean_Text,place.country,coordinates,compound,type
165,reuters repoers jailed for seven years in myanmar,United States,"[[-86.457278, 39.733571], [-86.326391, 39.733571], [-86.326391, 39.800876], [-86.457278, 39.800876]]",-0.4939,Negative
178,weve seen this movie before today we see it against china and beijings belt and road initiative the uyghurs and connectedly the rohingya in myanmar directed against bris chinamyanmar economic corridor through rakhine state on the bay of bengal,United States,"[[-83.67529, 36.540739], [-75.16644, 36.540739], [-75.16644, 39.466012], [-83.67529, 39.466012]]",0.0,Neutral
181,nslwin reuters drzarni shafiur yoursrohingya rightly sir  unpeacefully of our life in the refugees camps in bangladesh we requirement to help from icc  an international community and etc we want justices for the genocide we are rohingya muslims in arakan state we were born in myanmar arakan state  we want demand,United States,"[[-122.7900653, 45.421863], [-122.471751, 45.421863], [-122.471751, 45.6509405], [-122.7900653, 45.6509405]]",0.4215,Positive
184,scrollin all rohingyas are now going to  europe to settle eu  is happy today,United States,"[[-122.035311, 37.193164], [-121.71215, 37.193164], [-121.71215, 37.469154], [-122.035311, 37.469154]]",0.5719,Positive
186,we have to be fair to all sides says trump san suu kyi murderers enabler rohingya ,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",-0.4588,Negative
193,this is a pity in face of the rohingya genocide myanmar tourism is no pariah at asiapacific travel ma via skift,United States,"[[-73.962582, 40.541722], [-73.699793, 40.541722], [-73.699793, 40.8000371], [-73.962582, 40.8000371]]",-0.5267,Negative
202,time muslims being buddhist yourself you have remained silent spectator of rohingya muslim womens rape murders and setting on fire their homes forcing one million population to flee and live life as refugees in bangladesh if one percent humanity in you resign and get out of hell,United States,"[[-84.3592169, 34.028083], [-84.201172, 34.028083], [-84.201172, 34.118605], [-84.3592169, 34.118605]]",-0.959,Negative
203,time confessed the sin with saying not handled better what is the use of remaining as subordinate authority to men eating military of your country is it not shameful that you justified jailing of two journalists you r leading buddhist country which turned in to hell for rohingya,United States,"[[-84.3592169, 34.028083], [-84.201172, 34.028083], [-84.201172, 34.118605], [-84.3592169, 34.118605]]",-0.7165,Negative
215,hillelneuer nikkihaley unhumanrights unhrc yes and how the burmese are genociding the illegal bangladeshi migrants rohingya is a bogus bengali word when there isnt any genocide  got to love the un the oic is trying to palestinize myanmar the only legitimate source of true information is daw aung san suu kyi,United States,"[[-77.155886, 39.0126343], [-77.084619, 39.0126343], [-77.084619, 39.0743035], [-77.155886, 39.0743035]]",0.7269,Positive
223,myanmar leader defends the jailing of two reuters journalists the pair are serving 7 year sentences for repoing on the massacre of the rohingya people asia southeastasia burma genocide tmtmdailybuzz,United States,"[[-91.655009, 30.146096], [-88.097889, 30.146096], [-88.097889, 34.995968], [-91.655009, 34.995968]]",0.0516,Positive
224,in hindsight that could have been handled betterpropoional response to  inefficiently loading the dishwasher breaking up via text leaving too late for the airponot a propoional response to  genocidal attacks on hundreds of thousands of rohingya,United States,"[[-71.160356, 42.352429], [-71.064398, 42.352429], [-71.064398, 42.4039663], [-71.160356, 42.4039663]]",-0.4404,Negative
225,the rohingya situation could be handled better aung san suu kyi understatement of the year rohingya aungsansuukyi un,United States,"[[-80.095586, 40.3615796], [-79.8657933, 40.3615796], [-79.8657933, 40.501198], [-80.095586, 40.501198]]",0.4404,Positive
230,rohingya crimesrapemurderchild murderkidnappingmolestationbuddhist crimesbeing too niceletting this happennow want them gone ,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",0.0772,Positive
235,as someone who worked on burmese democracy in college this is devastatingly disappointing i stayed with a rohingya muslim family on the thaiburmese border they had aung san suu kyis picture on the wall betrayed doesnt begin to cover it ,United States,"[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]",-0.891,Negative
240,once a person who seemed exhibit inspiring courage amp high principle aung san suu kyi has become a one of the most despicable political figures of these times can a nobel peace prize be revoked  ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.9153,Positive
249,power will change a manwoman ,United States,"[[-97.233811, 32.586565], [-97.037464, 32.586565], [-97.037464, 32.817135], [-97.233811, 32.817135]]",0.0,Neutral
251,jefffoenberrystatedept on monday quietly released results of its investigation into myanmars military campaign against rohingya muslims detailing a slew of atrocities but stopping sho of calling the crackdown either nahaltoosigenocide,United States,"[[-96.806031, 40.710053], [-96.5870939, 40.710053], [-96.5870939, 40.896417], [-96.806031, 40.896417]]",-0.2263,Negative
253,china could play a key role in solving myanmar crisis with un security council but only if it is prepared to hold generals accountable for atrocities they have committed against the rohingya quoted in this cgtnofficial story by lilingtan via youtube,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",0.6757,Positive
255,rohingya crimesrapemurderchild murderkidnappingmolestationbuddhist crimesbeing too niceletting this happennow want them gone ,United States,"[[-118.668404, 33.704538], [-118.155409, 33.704538], [-118.155409, 34.337041], [-118.668404, 34.337041]]",0.0772,Positive
260,as someone who worked on burmese democracy in college this is devastatingly disappointing i stayed with a rohingya muslim family on the thaiburmese border they had aung san suu kyis picture on the wall betrayed doesnt begin to cover it ,United States,"[[-75.280284, 39.871811], [-74.955712, 39.871811], [-74.955712, 40.13792], [-75.280284, 40.13792]]",-0.891,Negative
265,once a person who seemed exhibit inspiring courage amp high principle aung san suu kyi has become a one of the most despicable political figures of these times can a nobel peace prize be revoked  ,United States,"[[-74.026675, 40.683935], [-73.910408, 40.683935], [-73.910408, 40.877483], [-74.026675, 40.877483]]",0.9153,Positive
274,power will change a manwoman ,United States,"[[-97.233811, 32.586565], [-97.037464, 32.586565], [-97.037464, 32.817135], [-97.233811, 32.817135]]",0.0,Neutral
276,jefffoenberrystatedept on monday quietly released results of its investigation into myanmars military campaign against rohingya muslims detailing a slew of atrocities but stopping sho of calling the crackdown either nahaltoosigenocide,United States,"[[-96.806031, 40.710053], [-96.5870939, 40.710053], [-96.5870939, 40.896417], [-96.806031, 40.896417]]",-0.2263,Negative
278,china could play a key role in solving myanmar crisis with un security council but only if it is prepared to hold generals accountable for atrocities they have committed against the rohingya quoted in this cgtnofficial story by lilingtan via youtube,United States,"[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]",0.6757,Positive
284,an accomplice of genocide doesnt deserve any honors  good for canada ,United States,"[[-76.667184, 39.371735], [-76.563177, 39.371735], [-76.563177, 39.420969], [-76.667184, 39.420969]]",0.0511,Positive
296,canada mps vote to strip aung san suu kyi of honorary citizenship thank you canada,United States,"[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]",0.5994,Positive
297,canadas parliament moves to strip honor for myanmars leader ,United States,"[[-122.514926, 37.708075], [-122.357031, 37.708075], [-122.357031, 37.833238], [-122.514926, 37.833238]]",0.4939,Positive
301,firstpost recently an army officer questioned how rohingya refugees walking 1000 miles  reached kashmir making army actin increased amp they have voter amp pds ok  cards,United States,"[[-122.471871, 37.6345111], [-122.374366, 37.6345111], [-122.374366, 37.683086], [-122.471871, 37.683086]]",0.5106,Positive
302,scaling ny for worlds most persecuted minority incomprehensible atrocity born of unadulterated greed as usa leaderslol termobsess   abt criminal alcoholic brettkavanaugh n scotus so senmajldr gop amp trump get outta jail free card huh lindseygrahamsc,United States,"[[-87.634643, 24.396308], [-79.974307, 24.396308], [-79.974307, 31.001056], [-87.634643, 31.001056]]",-0.659,Negative
307,fyi and actions pmoindia rajnathsingh sushmaswaraj and every single bleedinghea rohingya fan and pseudosecularists indians ,United States,"[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]",0.4767,Positive
